name,scenario,nodes,workers,messages,messagesinsystem,minmessage,maxmessage,ops,wbytes,rbytes,deletes,duration,opspersec
h1_01,1,2,60,1000000,1000,100,200,6000000,598031768,301015884,0,69160,86755.3
h1_02,1,2,60,1000000,1000,200,300,6000000,997975562,500987781,0,69897,85840.6
h1_03,1,2,60,1000000,1000,300,400,6000000,1398002662,701001331,0,69066,86873.4
h1_04,1,2,60,1000000,1000,400,500,6000000,1798105184,901052592,0,69493,86339.6
h1_05,1,2,60,1000000,1000,500,600,6000000,2197940772,1100970386,0,69387,86471.5
h1_06,1,2,60,1000000,1000,600,700,6000000,2598103666,1301051833,0,71865,83489.9
h1_01,1,2,60,1000000,1000,100,200,6000000,598079690,301039845,0,66833,89776.0
h1_02,1,2,60,1000000,1000,200,300,6000000,998008852,501004426,0,66853,89749.2
h1_03,1,2,60,1000000,1000,300,400,6000000,1398121746,701060873,0,69309,86568.8
h1_05,1,2,60,1000000,1000,500,600,6000000,2197974850,1100987425,0,74404,80640.8
h1_06,1,2,60,1000000,1000,600,700,6000000,2597907180,1300953590,0,73764,81340.5
h1_07,1,2,60,1000000,1000,700,800,6000000,2997984000,1500992000,0,75417,79557.7
h1_08,1,2,60,1000000,1000,800,900,6000000,3397884602,1700942301,0,74408,80636.5
h1_09,1,2,60,1000000,1000,900,1000,6000000,3798214786,1901107393,0,75972,78976.5
h1_10,1,2,60,1000000,1000,1000,1100,6000000,4198028448,2101014224,0,78927,76019.6
h1_11,1,2,60,1000000,1000,1100,1200,6000000,4598033462,2301016731,0,79926,75069.4
h1_12,1,2,60,1000000,1000,1200,1300,6000000,4998078344,2501039172,0,82696,72554.9
h1_13,1,2,60,1000000,1000,1300,1400,6000000,5397898834,2700949417,0,84326,71152.4
h1_14,1,2,60,1000000,1000,1400,1500,6000000,5797916234,2900958117,0,79574,75401.5
h1_15,1,2,60,1000000,1000,1500,1600,6000000,6197870348,3100935174,0,84008,71421.8
h1_16,1,2,60,1000000,1000,1600,1700,6000000,6597863924,3300931962,0,82873,72399.9
h1_17,1,2,60,1000000,1000,1700,1800,6000000,6998088488,3501044244,0,87360,68681.3
h1_18,1,2,60,1000000,1000,1800,1900,6000000,7398056156,3701028078,0,88321,67934.0
h1_19,1,2,60,1000000,1000,1900,2000,6000000,7798148072,3901074036,0,96620,62098.9
h1_20,1,2,60,1000000,1000,2000,2100,6000000,8198025492,4101012746,0,90618,66212.0
h1_21,1,2,60,1000000,1000,2100,2200,6000000,8597989736,4300994868,0,92427,64916.1
h1_22,1,2,60,1000000,1000,2200,2300,6000000,8997884446,4500942223,0,94561,63451.1
h1_23,1,2,60,1000000,1000,2300,2400,6000000,9397762918,4700881459,0,109285,54902.3
h1_24,1,2,60,1000000,1000,2400,2500,6000000,9797846932,4900923466,0,98610,60845.8
h1_25,1,2,60,1000000,1000,2500,2600,6000000,10198031956,5101015978,0,98595,60855.0
h1_26,1,2,60,1000000,1000,2600,2700,6000000,10598057504,5301028752,0,96323,62290.4
h1_27,1,2,60,1000000,1000,2700,2800,6000000,10998055634,5501027817,0,96074,62451.9
h1_28,1,2,60,1000000,1000,2800,2900,6000000,11398085328,5701042664,0,102600,58479.5
h1_29,1,2,60,1000000,1000,2900,3000,6000000,11797844026,5900922013,0,115193,52086.5
h1_30,1,2,60,1000000,1000,3000,3100,6000000,12198020522,6101010261,0,99469,60320.3
h1_31,1,2,60,1000000,1000,3100,3200,6000000,12597945072,6300972536,0,108316,55393.5
h1_32,1,2,60,1000000,1000,3200,3300,6000000,12998036068,6501018034,0,102434,58574.3
h1_33,1,2,60,1000000,1000,3300,3400,6000000,13398050554,6701025277,0,104745,57282.0
h1_34,1,2,60,1000000,1000,3400,3500,6000000,13797944586,6900972293,0,104326,57512.0
h1_35,1,2,60,1000000,1000,3500,3600,6000000,14197903946,7100951973,0,110718,54191.7
h1_36,1,2,60,1000000,1000,3600,3700,6000000,14598099402,7301049701,0,116321,51581.4
h1_37,1,2,60,1000000,1000,3700,3800,6000000,14997943482,7500971741,0,115471,51961.1
h1_38,1,2,60,1000000,1000,3800,3900,6000000,15397954738,7700977369,0,133322,45003.8
h1_39,1,2,60,1000000,1000,3900,4000,6000000,15798020684,7901010342,0,135144,44397.1
h1_40,1,2,60,1000000,1000,4000,4100,6000000,16198148660,8101074330,0,127276,47141.6
h1_41,1,2,60,1000000,1000,4100,4200,6000000,16597993568,8300996784,0,126965,47257.1
h1_42,1,2,60,1000000,1000,4200,4300,6000000,16998006632,8501003316,0,121958,49197.3
h1_43,1,2,60,1000000,1000,4300,4400,6000000,17397982082,8700991041,0,141855,42296.7
h1_44,1,2,60,1000000,1000,4400,4500,6000000,17798014494,8901007247,0,140311,42762.1
h1_45,1,2,60,1000000,1000,4500,4600,6000000,18198039870,9101019935,0,143768,41733.9
h1_46,1,2,60,1000000,1000,4600,4700,6000000,18597983414,9300991707,0,150897,39762.2
h1_47,1,2,60,1000000,1000,4700,4800,6000000,18997940492,9500970246,0,167368,35849.1
h1_48,1,2,60,1000000,1000,4800,4900,6000000,19398061578,9701030789,0,154703,38784.0
h1_49,1,2,60,1000000,1000,4900,4000,6000000,17803578262,8903789131,0,168885,35527.1
h1_50,1,2,60,1000000,1000,5000,5100,6000000,20197898142,10100949071,0,191747,31291.2
h1_51,1,2,60,1000000,1000,5100,5200,6000000,20598058704,10301029352,0,157839,38013.4
h1_52,1,2,60,1000000,1000,5200,5300,6000000,20998026978,10501013489,0,182764,32829.2
h1_53,1,2,60,1000000,1000,5300,5400,6000000,21398044010,10701022005,0,184504,32519.6
h1_54,1,2,60,1000000,1000,5400,5500,6000000,21798000212,10901000106,0,202715,29598.2
h1_55,1,2,60,1000000,1000,5500,5600,6000000,22197890972,11100945486,0,200064,29990.4
h1_56,1,2,60,1000000,1000,5600,5700,6000000,22598133762,11301066881,0,227745,26345.3
h1_57,1,2,60,1000000,1000,5700,5800,6000000,22998078782,11501039391,0,242090,24784.2
h1_58,1,2,60,1000000,1000,5800,5900,6000000,23397919956,11700959978,0,204078,29400.5
h1_59,1,2,60,1000000,1000,5900,5000,6000000,21801930882,10902965441,0,203259,29519.0
h1_60,1,2,60,1000000,1000,6000,6100,6000000,24198024524,12101012262,0,232561,25799.7
