System.TransactionMsg,1,1,1,10000,10000,20150101,100100000,1,C
System.TransactionMsg,1,1,1,10000,20000,20150101,100100000,1,C
System.TransactionMsg,1,1,1,10000,10000,20150101,100100000,1,D
System.TransactionMsg,1,1,1,5000,5000,20150101,100100000,1,D
System.TransactionMsg,1,1,1,4000,1000,20150101,100100000,1,D
System.TransactionMsg,1,1,1,900,100,20150101,100100000,1,D
System.TransactionMsg,1,1,1,10,90,20150101,100100000,1,D
System.TransactionMsg,1,1,1,10,80,20150101,100100000,1,D
System.TransactionMsg,1,1,1,30,50,20150101,100100000,1,D
System.TransactionMsg,1,1,1,10,40,20150101,100100000,1,D
