com.ligadata.kamanja.samples.messages.TransactionMsg,1,1,1,10000,10000,20150101,100100000,1,C
com.ligadata.kamanja.samples.messages.TransactionMsg,1,1,1,10000,20000,20150102,100100000,1,C
com.ligadata.kamanja.samples.messages.TransactionMsg,1,1,1,10000,10000,20150103,100100000,1,D
com.ligadata.kamanja.samples.messages.TransactionMsg,1,1,1,5000,5000,20150104,100100000,1,D
com.ligadata.kamanja.samples.messages.TransactionMsg,1,1,1,4000,1000,20150105,100100000,1,D
com.ligadata.kamanja.samples.messages.TransactionMsg,1,1,1,900,100,20150106,100100000,1,D
com.ligadata.kamanja.samples.messages.TransactionMsg,1,1,1,10,90,20150107,100100000,1,D
com.ligadata.kamanja.samples.messages.TransactionMsg,1,1,1,10,80,20150108,100100000,1,D
com.ligadata.kamanja.samples.messages.TransactionMsg,1,1,1,30,50,20150109,100100000,1,D
com.ligadata.kamanja.samples.messages.TransactionMsg,1,1,1,10,40,20150110,100100000,1,D
