System.DrDigMsg,CB,20130228,14555289,N43,4,200040,40317446,3,24,3,21,400.3,0,0
System.DrDigMsg,CB,20130228,14555289,N30,5,200040,78600937,4,23,3,27,400.3,0,0
System.DrDigMsg,CB,20130228,14555289,N44,9,200080,912484,3,23,3,68,968.44,0,0
System.DrDigMsg,CB,20130228,14555289,N43,11,200080,88600910,4,24,3,69,968.44,0,0
System.DrDigMsg,CB,20130228,14555289,N30,8,200080,60731501,3,23,3,21,45247.87,0,0
System.DrDigMsg,CB,20130228,14555289,N44,10,200080,78600805,4,24,3,27,45247.87,0,0
System.DrDigMsg,CE,20130228,14555289,N43,21,205756,48998000,4,23,5,68,198,0,0
System.DrDigMsg,CE,20130228,14555289,N30,19,205756,995614,3,24,5,69,198,0,0
System.DrDigMsg,CE,20130228,14555289,N44,17,205756,40206873,3,23,5,21,198,0,0
System.DrDigMsg,CE,20130228,14555289,N43,18,205756,30313572,3,24,5,27,198,0,0
